dt_scraping,link,title,price,useful_area,m2_value,neighborhood,city,rooms,parking,condo_value,iptu,total_area,land_area,floor,floor_properties,suites,exchange,financing
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-801981,SQNW 311,2750.0,35.0,78.0,NOROESTE,BRASÍLIA,1,1,464.0,224.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-lote-4-bloco-a-288573,CCSW 1 Lote 4 Bloco A,4200.0,26.0,161.0,SUDOESTE,BRASÍLIA,1,1,410.0,56.0,0.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-norte-aguas-claras-df-avenida-pau-brasil-769908,Avenida Pau Brasil  - Gavino Residências,5500.0,129.0,42.0,NORTE,ÁGUAS CLARAS,4,2,0.0,0.0,0.0,0.0,0,,3,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-d-215603,SQNW 109 Bloco D,5500.0,127.0,43.0,NOROESTE,BRASÍLIA,3,2,1367.0,3393.0,127.0,0.0,0,,2,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-520771,CA 02,1850.0,36.0,51.0,LAGO NORTE,BRASÍLIA,1,1,310.0,204.0,36.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-757805,SCES Trecho 4  - Brisas do Lago,6000.0,48.0,125.0,ASA SUL,BRASÍLIA,1,0,0.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-796068,SEPS 713/913,1250.0,27.0,46.0,ASA SUL,BRASÍLIA,1,2,365.0,250.0,27.0,0.0,3,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-109-293062,SQNW 109,6200.0,110.0,56.0,NOROESTE,BRASÍLIA,3,3,1440.0,0.0,110.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-taguatinga-norte-taguatinga-df-qnd-36-769720,QND 36,800.0,32.0,25.0,TAGUATINGA NORTE,TAGUATINGA,1,0,0.0,0.0,32.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-303-bloco-i-312571,SQN 303 Bloco I,4200.0,70.0,60.0,ASA NORTE,BRASÍLIA,2,1,763.0,1980.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-302-bloco-d-802125,SQNW 302 Bloco D,4500.0,69.0,65.0,NOROESTE,BRASÍLIA,2,2,667.0,4394.0,0.0,0.0,0,,2,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-303-bloco-f-703245,SQS 303 Bloco F,5200.0,170.0,30.0,ASA SUL,BRASÍLIA,4,1,1520.0,0.0,170.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-d-772056,SQSW 100 Bloco D,4500.0,104.0,43.0,SUDOESTE,BRASÍLIA,3,1,1001.0,236.0,0.0,0.0,0,,1,,
